county,TAZ,tm15,link21,jobs
6075,61,RETEMPN,RETR,125
6075,62,FPSEMPN,FIRE,21244
6075,62,FPSEMPN,UTIL,16
6075,62,HEREMPN,HIED,86
6075,62,HEREMPN,HMED,861
6075,62,HEREMPN,K12E,103
6075,62,HEREMPN,PERS,1091
6075,62,HEREMPN,RECS,1694
6075,62,HEREMPN,SOCS,301
6075,62,MWTEMPN,MFRG,195
6075,62,MWTEMPN,WTWT,185
6075,62,OTHEMPN,FIRE,1390
6075,62,OTHEMPN,CONS,533
6075,62,OTHEMPN,GOVT,150
6075,62,RETEMPN,RETL,236
6075,62,RETEMPN,RETR,16
6075,62,AGREMPN,FFRE,36
6075,63,FPSEMPN,FIRE,16007
6075,63,HEREMPN,HIED,425
6075,63,HEREMPN,HMED,1068
6075,63,HEREMPN,PERS,1300
6075,63,HEREMPN,RECS,1633
6075,63,HEREMPN,SOCS,343
6075,63,MWTEMPN,MFRG,318
6075,63,MWTEMPN,WTWT,508
6075,63,OTHEMPN,FIRE,1531
6075,63,OTHEMPN,CONS,97
6075,63,OTHEMPN,GOVT,359
